Destinataires;Date;Lieu;Objet (narratio et petitio);Contreseing;Langue de rédaction;Pronom personnel employé;Statut;Institution de conservation;Cote;Référence bibliographique;URL vers texte numérisé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
François II  Duc de Bretagne;12/03/1484;Plessis du Parc;Envoie d'ambassadeurs du roi auprès du duc après avoir reçu les ambassadeurs du duc.;Mesme;Français;Nous;Copie. ;Archives départementales de la Loire-inférieure;E106, cass. 39.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.32.;https://archive.org/details/lettresdecharle06chargoog/page/n45/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;24/11/1485;Melun;Prière itérative de rendre à la comtesse de Penthièvre son comté et les autres terres à elle appartenant avec les revenus d'icelle, lesquelles terres et rentes avaient été saisies par ordre du duc.;Damont;Français;Nous;Orig.;BnF;nous. aqc. fr. 6525, p.9.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.97.;https://archive.org/details/lettresdecharle06chargoog/page/n109/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonne de Savoie ( Duchesse de Milan);21/03/1484;Chinon;Réponse enthousiaste à la lettre lui annonçant la venue prochaine des ambassadeurs de la duchesse .;Parent;Français;Je;Orig. ;Archives de Milan;Potenze estere, Francia, filza Ia. ;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.34.;https://archive.org/details/lettresdecharle06chargoog/page/n47/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doge de Venise (Jean Mocenigo);29/11/1484;Gien;Féliciations au doge pour le rétablissement de la paix en Italie.;;Latin;Nous;Orig. ;Archives de Venise;Atti diplomatici misti, n°60.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.46.;https://archive.org/details/lettresdecharle06chargoog/page/n59/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maximilien d'Autriche;27/12/1484;Montargis;Information quant à l'alliance et la confédération conclues avec Philippe, comte de Flandre, et demande de rétablir la situation comme elle l'était avant la surprise de Termonde.;Damont;Français;Nous;Copie. ;Archives départementales du Nord ; Registre de la Chambre des comptes de Lille ;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.50.;https://archive.org/details/lettresdecharle06chargoog/page/n63/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maximilien d'Autriche;31/08/1486;Beauvais;Réponse à sa lettre en date de Bruges, 31 juillet .;Damont;Français;Nous;Copie. ;BnF;fonds Duchesne, 57, fol.365.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.125.;https://archive.org/details/lettresdecharle06chargoog/page/n137/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duc Louis d'Orléans;20/01/1485;Montargis;Réfuation des allégations dans la lettre du duc du 14 janvier dernier. Volonté du roi de garder auprès de lui sa sœur Anne de Beaujeu.;Parent;Français;Nous;Copie. ;Archives municipales de Troyes; AA 48, liasse 5.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.59.;https://archive.org/details/lettresdecharle06chargoog/page/n71/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Empereur Frédéric III;17/02/1486;Vincennes;"Réponse aux plaintes de l'empereur touchant les ravages exercés par des bandes ennemies sur le territoire de Liège ; le roi nie que les bandes soient à son service et se déclare prêt à répondre à l'enquête qui pourrait être faite à ce sujet.";;Latin;Nous;Copie. ;Archives du Royaume de Belgique;Cartul. et mss., n°175, fol. 19r°.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.102.;https://archive.org/details/lettresdecharle06chargoog/page/n115/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laurent de Médicis;28/12/1487;Paris;Prière d'appuyer la requête qu'il adresse au pape de promouvoir à l'évêché d'Agen le protonotaire de la Trémoille.;Robineau;Français;Nous;Orig. ;Archives de Florence;filza 45, n°85.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.269.;https://archive.org/details/lettresdecharle06chargoog/page/n279/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etats de Béarn;08/09/1483;Amboise;Invitation à consentir au mariage de la reine Catherine de Navarre avec Jean, fils aîné d'Alain, sire d'Albret.;;Français;Nous;Orig. ;Archives des Basses-Pyrénées; E 543.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.4.;https://archive.org/details/lettresdecharle06chargoog/page/n17/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chambre des Comptes de Paris;05/02/1488;Poissy;Ordre de mettre incontinent à exécution les lettres portant donation au maréchal de Gié de la terre et seigneurie de Fronsac, en échange de la terre de Fontenay-le-Comte, qui est réunie au domaine royal.;Robineau;Français;Nous;Copie. ;Archives nationales;reg. MM 759, p.790.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.283.;https://archive.org/details/lettresdecharle06chargoog/page/n293/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gouverneur de Dauphiné (Philippe de Savoie) et Parlement de Grenoble;21/09/1483;Amboise;Ordre de laisser le trésorier du Dauphiné prendre les deniers de l'aide et du domaine pour payer aux officiers du roi le reste de leurs gages de la présente année.;Brinon;Français;Nous;Copie.;Archives départementales de l'Isère;B 2905.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.13.;https://archive.org/details/lettresdecharle06chargoog/page/n25/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etats du duché de Bourgogne;13/11/1483;Beaugency;Prière de déléguer l'abbé de Cîteaux et le sire de la Roche pour les représenter aux Etas généraux de 1484.;Potier;Français;Nous;Copie. ;BnF; f. fr. 16248, fol. 433 v°.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.23.;https://archive.org/details/lettresdecharle06chargoog/page/n35/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gens des trois états de Bourgogne;26/08/1487;Châteaubriant;Prière d'octroyer libéralement ce qui leur sera demandé par les commissaires royaux en l'assemblée qui doit se réunir à Dijon le 25 septembre prochain.;Robineau;Français;Nous;Copie. ;BnF; f. fr. 5325, fol. 80.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.218.;https://archive.org/details/lettresdecharle06chargoog/page/n229/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consuls de Lyon;02/04/1484;Amboise;Ordre de recevoir honorablement le cardinal Balue, légat du Pape.;Brinon;Français;Nous;Orig. ;Archives municipales de Lyon;AA 20, fol. 63.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.35.;https://archive.org/details/lettresdecharle06chargoog/page/n47/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consuls et habitants de Lyon;17/01/1487;Amboise;"À la nouvelle du départ du duc d'Orélans pour la Bretagne, le roi a donné ordre au cardinal de Bourbon de se rendre à Lyon, accompagné d'Imbert de Varey ; lui obéir en tout ce qu'il commandera.";Parent;Français;Nous;Orig. ;Archives municipales de Lyon;AA 23, fol. 60.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.145.;https://archive.org/details/lettresdecharle06chargoog/page/n155/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consuls et habitants de Lyon;31/10/1487;Coutances;Depuis dix ou douze jours, nombre de Suisses sont venus lui offrir leurs services . Ordre de ne plus en laisser passer par leur ville.;Parent;Français;Nous;Orig. ;Archives municipales de Lyon;AA 23, fol. 65.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.237.;https://archive.org/details/lettresdecharle06chargoog/page/n247/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anciennes Ligues de la Haute-Allemagne;30/03/1484-06/04/1484;Amboise;À la suite de la requête des états généraux et pour alléger les charges de son peuple, prière du roi de ne pas prendre le renvoie en mauvaise part de troupes et d'un certain nombre de gens de nationalité suisse.;;Latin;Nous;Copie. ;Bibliothèque de la ville de Lucerne;Guerres de 1460 à 1500, fol.97, arch. cant., p.157;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.37.;https://archive.org/details/lettresdecharle06chargoog/page/n49/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anciennes Ligues de la Haute-Allemagne;19/05/1484;Meaux;Lettre de créance pour Philippe Baudot, chancelier de Bourgogne, Jean d'Andelot, bailli d'Amont, et le Dr Conrad Hyghanter, envoyés vers les seigenurs des Ligues suisses.;Petit;Latin;Nous;Orig. ;Archives cantonales de Lucerne; Lettres des rois.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.39.;https://archive.org/details/lettresdecharle06chargoog/page/n51/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
